pair_mock,area,p_obs,p_exp,energy_mock
A<C.2>	A<C.2>,42658.40661188905,0.0013251811713289403,0.003163259526552387,0.8700538085475445
A<C.2>	A<C.3>,768592.5796332808,0.023876288306307638,0.03518420366028985,0.38771137684584966
A<C.2>	A<C.ar>,168738.04367136324,0.005241838505469413,0.00819042602632061,0.4462936177594161
A<C.2>	A<C.cat>,6111.791371269435,0.0001898624794400937,0.00028642935123624304,0.4111918955264679
A<C.2>	A<N.2>,33692.395712949525,0.0010466525114728716,0.0012072176176063203,0.14272123505086212
A<C.2>	A<N.3>,82213.37034150134,0.0025539540517597915,0.006498811294158376,0.9339765156041296
A<C.2>	A<N.am>,57964.35555842144,0.0018006596751981817,0.003605618638803932,0.6943402778015221
A<C.2>	A<N.ar>,6259.270897778494,0.00019444392322125553,0.0003257005502955059,0.5158345928572634
A<C.2>	A<N.pl3>,108662.16799255504,0.00337558456811614,0.006573346943619729,0.6664546163407004
A<C.2>	A<None>,44.561656743847664,1.3843055371813196e-06,3.5202439833773686e-06,0.9333317039773606
A<C.2>	A<O.2>,273759.20133816125,0.008504315278158363,0.017292888999497567,0.7097216620581381
A<C.2>	A<O.3>,107924.45876240292,0.003352667669446964,0.006586179087176214,0.6752170275043947
A<C.2>	A<O.co2>,137769.0620173225,0.004279788709363613,0.009098000803750596,0.7541510560874681
A<C.2>	A<S.3>,16103.064295876336,0.0005002408505255152,0.000830334491821406,0.5067389383090202
A<C.3>	A<C.3>,5919695.841195091,0.18389504184058367,0.3913457548511557,0.7552262826683965
A<C.3>	A<C.ar>,2383789.09230809,0.07405228353432158,0.09110021323121757,0.20718876691730756
A<C.3>	A<C.cat>,74718.8135322349,0.002321136036275664,0.00318588738723072,0.31667412809638285
A<C.3>	A<N.2>,227160.9292462381,0.007056742391657976,0.013427602181741898,0.6433289252472438
A<C.3>	A<N.3>,983518.6589673336,0.03055295572504938,0.0722847740452931,0.8611520815206359
A<C.3>	A<N.am>,697463.2734808577,0.021666660129135817,0.04010446169343533,0.61571291280328
A<C.3>	A<N.ar>,63577.65568751989,0.0019750365502600458,0.00362269184607663,0.6066304487472359
A<C.3>	A<N.pl3>,1145185.5549810857,0.03557512939819612,0.07311381682492821,0.7203705802436094
A<C.3>	A<None>,711.2977429608404,2.2096427200301772e-05,3.9154859158853184e-05,0.5721086008710333
A<C.3>	A<O.2>,4324325.96219008,0.13433495995103772,0.19234480235525878,0.35895322500343174
A<C.3>	A<O.3>,1502553.686302297,0.04667675171542279,0.07325654578804351,0.4507213874178989
A<C.3>	A<O.co2>,1794795.5126043025,0.05575522877185992,0.101194957446164,0.5960777324328235
A<C.3>	A<S.3>,251602.7852637751,0.007816027371086763,0.009235618393362894,0.16689115666819485
A<C.ar>	A<C.ar>,345567.4802863893,0.010735035709736954,0.021206947431766168,0.6808160792358559
A<C.ar>	A<C.cat>,15187.791886044768,0.0004718079609621339,0.0007416332404519198,0.4522827954367548
A<C.ar>	A<N.2>,44742.01077686485,0.0013899082257885637,0.0031257715377694655,0.8104434244514226
A<C.ar>	A<N.3>,205868.3728932421,0.006395290241671046,0.0168269573574426,0.967420385296816
A<C.ar>	A<N.am>,110072.31981472632,0.003419390860752859,0.009335798246194689,1.0043938601260727
A<C.ar>	A<N.ar>,16599.836068486,0.0005156730396717118,0.0008433156500550185,0.49186840392215136
A<C.ar>	A<N.pl3>,193526.3799637396,0.006011886876523006,0.017019947758044454,1.0406473982619926
A<C.ar>	A<None>,46.85627342532304,1.4555876844348221e-06,9.114743099146418e-06,1.834483497425111
A<C.ar>	A<O.2>,715150.8107966388,0.02221612255119259,0.04477537392770501,0.7008400328352364
A<C.ar>	A<O.3>,231701.3476350321,0.007197790251544722,0.017053173208462388,0.8625622289381557
A<C.ar>	A<O.co2>,213400.24278998905,0.0066292673862671245,0.023556872885399854,1.2679233218689283
A<C.ar>	A<S.3>,43402.70231361618,0.0013483026783932704,0.0021499321112542023,0.46658973932774983
A<C.cat>	A<C.cat>,1464.3773760087067,4.549080663190959e-05,2.5935833769236065e-05,-0.5618846977904953
A<C.cat>	A<N.2>,1614.9671222532784,5.016886922656102e-05,0.00010931210547520489,0.778812444220674
A<C.cat>	A<N.3>,5483.676012910317,0.00017035010866888793,0.0005884595579868003,1.239652421818585
A<C.cat>	A<N.am>,3913.446054444513,0.00012157099709664345,0.0003264844376027243,0.9878838529048514
A<C.cat>	A<N.ar>,345.3613903942181,1.0728633538010494e-05,2.9491793681596966e-05,1.0111958455014975
A<C.cat>	A<N.pl3>,14929.23445728525,0.0004637758879544224,0.0005952086715324902,0.24951061707385294
A<C.cat>	A<None>,2.807702666558466,8.722113655732189e-08,3.187538650839084e-07,1.2959725288973416
A<C.cat>	A<O.2>,20005.536851846908,0.0006214709564657314,0.0015658503311376725,0.9240951194886731
A<C.cat>	A<O.3>,6020.797181715407,0.0001870357496985349,0.0005963706067208622,1.1595625237289882
A<C.cat>	A<O.co2>,12845.228615564502,0.00039903635542771603,0.0008238130466030049,0.7248910898773945
A<C.cat>	A<S.3>,1294.1128365006896,4.020154761307571e-05,7.518579105037656e-05,0.6260567715828801
A<N.2>	A<N.2>,15911.464743157414,0.0004942888204366231,0.00046071919297986305,-0.07033127155005385
A<N.2>	A<N.3>,33210.673142602114,0.0010316878250082192,0.0024801883696079943,0.8771383866281023
A<N.2>	A<N.am>,17943.79089689133,0.0005574229261576967,0.001376038325846085,0.9036396264587129
A<N.2>	A<N.ar>,2351.884574456073,7.306117135513303e-05,0.00012429945727827918,0.5313965782607997
A<N.2>	A<N.pl3>,34106.50781473454,0.0010595168822661307,0.002508633948737426,0.8619253286769653
A<N.2>	A<O.2>,124108.1381728329,0.003855412824291742,0.006599610333666456,0.5375325176406595
A<N.2>	A<O.3>,52588.7262131757,0.001633666030611898,0.002513531172516572,0.4308620181918291
